,col-pi,col-tt,col-gu,col-le,col-pac,col-sho,col-vl,col-bp,col-wg,col-def,col-phy,col-ae,col-pas,col-dri,col-oa,col-pt,Contract,Name,Team
41,256958,1692,16,N/A,71,65,€3.7M,CAM,€5K,36,47,20,70,69,69,85,2019 ~ 2022, Fábio Vieira,FC Porto  
42,243630,1818,9,N/A,85,76,€23.5M,ST,€29K,25,66,20,69,78,77,86,2020 ~ 2025, J. David,LOSC Lille  
43,204923,2232,1,N/A,80,84,€49.5M,CM,€81K,67,78,26,81,80,84,85,2014 ~ 2022, M. Sabitzer,RB Leipzig  
44,222077,2043,6,N/A,60,64,€31M,CDM,€32K,78,73,22,80,76,80,86,2019 ~ 2023, M. Locatelli,Sassuolo  
45,224232,2218,7,N/A,80,71,€61M,CM,€100K,77,76,23,80,84,82,89,2020 ~ 2024, N. Barella,Inter  
46,207439,2169,3,N/A,68,70,€30.5M,CM,€81K,76,79,26,82,79,81,84,2019 ~ 2023, L. Paredes,Paris Saint-Germain  
47,233049,2011,5,N/A,83,76,€118.5M,CAM,€82K,37,64,20,82,91,87,92,2017 ~ 2023, J. Sancho,Borussia Dortmund  
48,233064,2066,6,N/A,74,78,€49M,CAM,€81K,54,62,21,83,81,82,88,2016 ~ 2024, M. Mount,Chelsea  
49,254796,1842,13,N/A,91,68,€10M,CAM,€6K,36,61,18,66,79,74,87,2019 ~ 2024, N. Madueke,PSV  
50,251570,1684,17,N/A,73,65,€4.7M,CAM,€7K,20,58,16,67,81,71,88,2019 ~ 2023, R. Cherki,Olympique Lyonnais  
51,241486,1909,6,N/A,78,45,€44.5M,CB,€25K,84,78,21,64,72,82,88,2019 ~ 2024, J. Koundé,Sevilla FC  
52,234396,2106,8,N/A,96,67,€53M,LB,€40K,75,76,19,69,83,81,89,2019 ~ 2025, A. Davies,FC Bayern München  
53,181375,1778,0,N/A,56,75,€0,ST,€0,36,75,33,63,67,71,71,Free, M. Martins, BoliviaFree
54,256948,1875,14,N/A,86,71,€7M,ST,€500,35,65,18,66,73,73,87,2019 ~ 2024, C. Tzolis,PAOK  
55,246669,2034,9,N/A,84,66,€37M,CAM,€29K,65,64,18,76,82,79,88,2018 ~ 2025, B. Saka,Arsenal  
56,190871,2174,0,N/A,91,85,€132M,LW,€270K,36,58,28,86,94,91,91,2017 ~ 2025, Neymar Jr,Paris Saint-Germain  
57,251804,1972,13,N/A,88,59,€13M,RM,€50K,67,66,19,71,81,75,88,2020 ~ 2025, S. Dest,FC Barcelona  
58,230621,1361,6,N/A,89,81,€88.5M,GK,€37K,53,84,21,76,89,86,92,2015 ~ 2021, G. Donnarumma,Milan  
59,238074,2076,6,N/A,80,58,€30.5M,RB,€61K,76,79,20,77,77,80,86,2017 ~ 2025, R. James,Chelsea  
0,251852,1778,15,N/A,88,69,€3.7M,ST,€7K,24,58,18,63,76,70,85,2018 ~ 2024, K. Adeyemi,FC Red Bull Salzburg  
1,240950,2021,8,N/A,74,75,€39.5M,CAM,€16K,56,57,22,78,83,79,87,2020 ~ 2025, Pedro Gonçalves,Sporting CP  
2,253004,1817,14,N/A,88,74,€17M,LW,€24K,29,53,17,68,79,76,90,2018 ~ 2022, Ansu Fati,FC Barcelona  
3,237995,1873,10,N/A,79,64,€9.5M,CAM,€15K,49,55,20,69,80,74,84,2019 ~ 2024, D. Lainez,Real Betis  
4,231943,2114,6,N/A,83,79,€41M,ST,€90K,53,80,23,73,83,81,87,2018 ~ 2024, Richarlison,Everton  
5,246147,1937,11,N/A,82,77,€29.5M,CAM,€35K,39,67,18,72,80,78,89,2018 ~ 2025, M. Greenwood,Manchester United  
6,230965,2078,5,N/A,76,67,€16M,CDM,€29K,76,83,24,72,77,77,82,2019 ~ 2024, N. Nández,Cagliari  
7,261025,1489,26,N/A,72,62,€1.6M,ST,€3K,20,57,16,44,59,62,88,2020 ~ 2021, D. Scarlett,Tottenham Hotspur  
8,230084,1873,7,"Jun 30, 2021",82,73,€8.5M,ST,€67K,39,77,21,64,76,74,81,"Jun 30, 2021 On Loan", L. Nmecha,"RSC AnderlechtJun ,  On Loan"
9,256790,1693,13,N/A,76,70,€9.5M,CAM,€7K,31,49,17,66,82,74,87,2020 ~ 2026, J. Musiala,FC Bayern München  
10,240709,2045,7,N/A,83,67,€28.5M,RWB,€40K,71,74,22,71,80,78,85,2020 ~ 2025, R. Baku,VfL Wolfsburg  
11,245371,1985,12,N/A,85,71,€10M,CAM,€9K,53,62,19,69,82,74,86,2018 ~ 2023, T. Almada,Vélez Sarsfield  
12,245541,1893,11,N/A,77,70,€15.5M,CAM,€6K,35,70,17,73,82,76,87,2019 ~ 2025, G. Reyna,Borussia Dortmund  
13,236772,1967,10,N/A,82,78,€23M,CAM,€27K,34,64,19,79,79,77,87,2021 ~ 2026, D. Szoboszlai,RB Leipzig  
14,244628,1773,2,N/A,76,69,€3M,ST,€10K,38,65,24,63,74,72,74,2018 ~ 2021, B. Samudio,Çaykur Rizespor  
15,247204,2018,7,N/A,79,62,€27M,RB,€17K,74,77,21,70,73,78,85,2019 ~ 2021, Emerson,Real Betis  
16,242444,2072,10,N/A,82,81,€80.5M,CAM,€61K,40,68,20,76,86,83,93,2019 ~ 2026, João Félix,Atlético Madrid  
17,259233,1830,15,N/A,73,69,€3.6M,CAM,€8K,63,65,17,62,71,70,85,2020 ~ 2022, I. Moriba,FC Barcelona  
18,229558,1840,9,N/A,80,43,€54M,CB,€41K,81,82,21,62,68,81,90,2017 ~ 2023, D. Upamecano,RB Leipzig  
19,202556,2078,1,N/A,82,83,€50.5M,CF,€105K,32,78,26,82,84,84,85,2017 ~ 2021, M. Depay,Olympique Lyonnais  
20,252238,1884,13,N/A,79,66,€7M,CAM,€2K,52,55,17,67,80,73,86,2018 ~ 2023, A. Velasco,Independiente  
21,247263,1887,7,N/A,74,52,€48.5M,CB,€48K,83,78,21,63,66,81,88,2020 ~ 2026, E. Tapsoba,Bayer  Leverkusen  
22,231478,2114,5,N/A,83,82,€65.5M,ST,€130K,48,82,22,71,84,84,89,2018 ~ 2023, L. Martínez,Inter  
23,237678,1725,9,N/A,74,34,€29.5M,CB,€33K,80,78,21,57,68,78,87,2017 ~ 2023, I. Konaté,RB Leipzig  
24,235790,2036,8,N/A,83,78,€81.5M,CAM,€88K,45,66,21,78,83,83,91,2020 ~ 2025, K. Havertz,Chelsea  
25,241096,2080,10,N/A,81,65,€22M,CM,€25K,72,76,20,77,76,77,87,2017 ~ 2022, S. Tonali,Milan  
26,251873,1653,21,N/A,79,64,€3.2M,CAM,€1K,19,47,17,61,78,67,88,2019 ~ 2022, Y. Demir,SK Rapid Wien  
27,236987,1952,6,N/A,74,49,€30M,CDM,€30K,79,76,20,72,73,80,86,2017 ~ 2022, B. Kamara,Olympique de Marseille  
28,235813,2031,4,"Jun 30, 2021",67,73,€6M,CAM,€12K,61,69,24,78,74,74,78,"Jun 30, 2021 On Loan", R. Marin,"CagliariJun ,  On Loan"
29,237383,1747,9,N/A,65,33,€29.5M,CB,€55K,80,75,21,64,65,78,87,2017 ~ 2023, A. Bastoni,Inter  
30,226161,2243,3,N/A,87,79,€55.5M,CAM,€78K,78,82,25,80,83,84,87,2019 ~ 2024, Marcos Llorente,Atlético Madrid  
31,216393,2169,3,N/A,62,79,€49.5M,CM,€95K,71,70,23,85,80,83,86,2019 ~ 2023, Y. Tielemans,Leicester City  
32,239956,1834,10,N/A,89,75,€16.5M,ST,€8K,28,66,19,61,76,76,86,2017 ~ 2023, M. Boadu,AZ Alkmaar  
33,215914,2169,0,N/A,77,66,€78M,CDM,€190K,86,82,29,76,81,88,88,2016 ~ 2023, N. Kanté,Chelsea  
34,258826,1824,14,N/A,77,53,€4.1M,RB,€500,68,68,17,62,71,71,85,2019 ~ 2023, D. Rensch,Ajax  
35,227796,1952,6,N/A,89,70,€41.5M,RM,€83K,37,59,21,72,86,81,87,2019 ~ 2024, C. Pulisic,Chelsea  
36,251566,1869,12,N/A,87,69,€13.5M,RM,€36K,44,67,19,65,77,75,87,2019 ~ 2024, Gabriel Martinelli,Arsenal  
37,251805,1800,12,N/A,81,40,€7M,CB,€6K,72,76,19,58,74,73,85,2019 ~ 2024, J. Timber,Ajax  
38,228702,2203,5,N/A,81,68,€102M,CM,€210K,77,77,23,84,87,86,91,2019 ~ 2026, F. de Jong,FC Barcelona  
39,245037,1693,10,N/A,64,36,€11.5M,CB,€42K,75,72,19,58,65,75,85,2017 ~ 2022, Eric García,Manchester City  
40,212198,2347,3,N/A,76,86,€121M,CAM,€240K,70,78,25,89,84,88,91,2020 ~ 2025, Bruno Fernandes,Manchester United  
41,234906,2135,6,N/A,76,75,€41M,CAM,€65K,66,70,22,81,86,81,87,2016 ~ 2023, H. Aouar,Olympique Lyonnais  
42,241184,1995,6,N/A,82,64,€21M,LB,€100K,75,75,23,71,72,78,84,2019 ~ 2024, Junior Firpo,FC Barcelona  
43,241461,1980,8,N/A,83,77,€56.5M,CAM,€110K,34,66,20,79,82,81,89,2020 ~ 2025, Ferran Torres,Manchester City  
44,220523,1758,2,N/A,50,54,€19.5M,CB,€73K,80,80,25,60,60,79,81,2018 ~ 2023, Y. Mina,Everton  
45,242879,933,16,N/A,74,69,€3.6M,GK,€800,15,65,18,66,71,70,86,2018 ~ 2023, M. Vandevoordt,KRC Genk  
46,255475,1947,9,N/A,91,71,€38.5M,CAM,€17K,37,65,20,72,84,79,88,2020 ~ 2025, Antony,Ajax  
47,248695,1766,8,N/A,73,37,€28.5M,CB,€36K,80,77,19,55,63,78,86,2020 ~ 2025, W. Fofana,Leicester City  
48,246045,1981,12,N/A,86,70,€10M,RM,€11K,50,73,19,69,76,74,86,2018 ~ 2023, P. De la Vega,Club Atlético Lanús  
49,234378,1932,5,N/A,67,52,€36.5M,CDM,€35K,80,79,21,69,72,81,86,2016 ~ 2024, D. Rice,West Ham United  
50,230666,2076,4,N/A,85,81,€52.5M,ST,€150K,42,73,23,72,87,83,87,2016 ~ 2023, Gabriel Jesus,Manchester City  
51,239818,1810,4,N/A,64,38,€69.5M,CB,€145K,87,88,23,57,66,85,89,2020 ~ 2026, Rúben Dias,Manchester City  
52,241464,1860,6,N/A,68,38,€30M,CB,€31K,82,78,23,67,69,80,86,2016 ~ 2024, Pau Torres,Villarreal CF  
53,222665,2095,6,"Jun 30, 2021",78,74,€58.5M,CAM,€135K,58,62,21,84,85,83,89,"Jun 30, 2021 On Loan", M. Ødegaard,"ArsenalJun ,  On Loan"
54,233419,2096,5,N/A,91,76,€46M,LM,€110K,49,72,23,76,83,82,87,2020 ~ 2024, Raphinha,Leeds United  
55,236480,2086,6,N/A,71,70,€22M,CM,€51K,76,75,23,75,78,78,84,2018 ~ 2023, Y. Bissouma,Brighton & Hove Albion  
56,230065,2069,6,N/A,69,70,€12M,CDM,€23K,75,79,23,72,78,76,82,2018 ~ 2022, S. Serdar,FC Schalke   
57,245992,1812,15,N/A,68,54,€4.4M,CM,€25K,64,50,19,70,73,71,86,2018 ~ 2023, B. Gilmour,Chelsea  
58,231677,2160,6,N/A,91,85,€86.5M,CAM,€150K,43,78,22,80,86,85,91,2014 ~ 2023, M. Rashford,Manchester United  
59,232656,2133,4,N/A,92,69,€41.5M,LB,€42K,74,81,22,75,78,82,86,2019 ~ 2024, T. Hernández,Milan  
0,231677,2160,6,N/A,91,85,€86.5M,CAM,€150K,43,78,22,80,86,85,91,2014 ~ 2023, M. Rashford,Manchester United  
1,178509,1886,0,N/A,39,80,€11M,ST,€95K,42,77,33,70,71,79,79,2018 ~ 2021, O. Giroud,Chelsea  
2,212622,2284,1,N/A,71,73,€110M,CDM,€150K,83,80,25,86,84,89,90,2015 ~ 2023, J. Kimmich,FC Bayern München  
3,231443,1989,6,N/A,92,77,€57.5M,LM,€175K,36,56,23,77,87,83,89,2017 ~ 2022, O. Dembélé,FC Barcelona  
4,226166,1990,6,N/A,83,49,€38.5M,CB,€49K,81,79,22,69,73,81,87,2018 ~ 2023, N. Mukiele,RB Leipzig  
5,246174,1658,15,"Jun 30, 2021",78,62,€5.5M,CAM,€11K,30,41,17,71,75,72,87,"Jun 30, 2021 On Loan", H. Elliott,"Blackburn RoversJun ,  On Loan"
6,247394,2005,10,N/A,82,72,€31M,CAM,€58K,56,75,20,76,80,78,88,2019 ~ 2024, D. Kulusevski,Juventus  
7,211110,2146,1,N/A,85,82,€95M,CAM,€160K,43,63,26,84,92,87,88,2015 ~ 2022, P. Dybala,Juventus  
8,208670,2088,0,N/A,78,76,€45M,RW,€140K,50,65,27,87,84,84,84,2020 ~ 2025, H. Ziyech,Chelsea  
9,194765,2276,0,N/A,80,83,€68M,ST,€270K,57,72,29,84,87,86,86,2019 ~ 2024, A. Griezmann,FC Barcelona  
10,225793,1840,9,N/A,82,44,€15.5M,CB,€52K,76,80,22,60,66,76,85,2020 ~ 2025, B. Godfrey,Everton  
11,231281,2214,5,N/A,78,68,€97.5M,RB,€100K,80,71,21,87,79,86,91,2015 ~ 2024, T. Alexander-Arnold,Liverpool  
12,229261,2049,6,N/A,83,64,€37.5M,CB,€38K,81,84,23,73,76,81,87,2017 ~ 2022, D. Zakaria,Borussia Mönchengladbach  
13,244778,1903,10,N/A,79,71,€23M,CAM,€95K,37,69,20,71,82,77,87,2020 ~ 2025, Trincão,FC Barcelona  
14,231447,1953,7,N/A,90,78,€36M,ST,€19K,30,73,21,70,81,79,86,2017 ~ 2024, D. Malen,PSV  
15,228941,2073,1,N/A,73,85,€53M,ST,€47K,47,77,24,70,83,84,85,2020 ~ 2023, André Silva,Eintracht Frankfurt  
16,195864,2224,0,N/A,73,81,€72M,CM,€190K,65,83,27,85,86,86,86,2016 ~ 2021, P. Pogba,Manchester United  
17,251810,1758,12,N/A,83,71,€7M,ST,€6K,30,80,18,54,67,73,85,2018 ~ 2021, B. Brobbey,Ajax  
18,212188,2015,3,N/A,91,81,€58.5M,ST,€125K,35,70,24,70,84,84,87,2020 ~ 2025, T. Werner,Chelsea  
19,240740,1896,10,N/A,82,67,€23M,CAM,€49K,40,60,19,74,81,77,87,2017 ~ 2024, C. Hudson-Odoi,Chelsea  
20,210413,1765,3,N/A,68,40,€36M,CB,€47K,85,78,25,56,67,82,85,2015 ~ 2022, A. Romagnoli,Milan  
21,229927,1913,8,"Jun 30, 2019",71,57,€8M,CAM,€30K,60,67,21,74,78,74,82,"Jun 30, 2019 On Loan",  Gerson,"FiorentinaJun ,  On Loan"
22,235353,1833,8,N/A,94,76,€31.5M,RW,€21K,22,66,22,67,80,78,86,2019 ~ 2024, I. Sarr,Watford  
23,252508,1626,20,N/A,65,46,€1.1M,CAM,€500,56,59,16,58,67,62,82,2019 ~ 2022, K. Kozłowski,Pogoń Szczecin  
24,242816,1889,12,N/A,68,59,€13.5M,CAM,€77K,56,63,20,75,81,75,87,2018 ~ 2021, Riqui Puig,FC Barcelona  
25,240243,1987,7,N/A,85,78,€35.5M,CAM,€37K,32,70,21,74,84,79,86,2020 ~ 2025, Matheus Cunha,Hertha BSC  
26,238616,1842,8,N/A,87,74,€31M,CAM,€62K,31,59,20,69,82,78,86,2019 ~ 2025, Pedro Neto,Wolverhampton Wanderers  
27,223697,2214,0,N/A,84,75,€40.5M,LM,€74K,77,80,25,78,79,83,83,2017 ~ 2022, R. Gosens,Atalanta  
28,208421,2211,3,N/A,71,79,€47.5M,CM,€71K,78,79,25,79,80,83,86,2013 ~ 2026, Saúl,Atlético Madrid  
29,212218,1972,3,N/A,63,50,€79M,CB,€185K,87,80,26,72,68,86,89,2018 ~ 2024, A. Laporte,Manchester City  
30,252961,1652,14,N/A,69,37,€4.1M,CB,€10K,71,74,18,55,62,71,85,2020 ~ 2024, T. Nianzou,FC Bayern München  
31,218667,2134,1,N/A,81,77,€81M,LM,€195K,54,67,25,83,91,86,87,2017 ~ 2025, Bernardo Silva,Manchester City  
32,236572,1991,6,N/A,86,50,€25.5M,LWB,€10K,73,74,20,73,77,79,85,2016 ~ 2023, O. Wijndal,AZ Alkmaar  
33,235243,1988,7,N/A,72,59,€99M,CB,€81K,85,84,20,66,69,85,92,2019 ~ 2024, M. de Ligt,Juventus  
34,230977,1984,1,N/A,86,72,€12.5M,LM,€40K,53,62,26,74,80,77,78,2019 ~ 2024, M. Almirón,Newcastle United  
35,246791,1797,10,N/A,81,70,€12.5M,RM,€750,37,60,20,71,78,75,85,2019 ~ 2023, M. Solomon,Shakhtar Donetsk  
36,238744,2125,8,N/A,76,69,€23.5M,CB,€48K,76,83,21,73,75,77,85,2021 ~ 2025, W. McKennie,Juventus  
37,240273,1772,10,N/A,79,64,€16M,CAM,€38K,32,61,19,72,78,76,86,2017 ~ 2023, E. Smith Rowe,Arsenal  
38,247360,1531,19,N/A,65,32,€2.4M,CB,€1K,68,72,18,46,48,67,86,2019 ~ 2024, L. Stergiou,FC St. Gallen  
39,202126,2208,1,N/A,68,91,€123M,ST,€230K,51,83,26,82,81,89,90,2010 ~ 2024, H. Kane,Tottenham Hotspur  
40,232293,1944,8,N/A,87,79,€39.5M,ST,€54K,39,79,21,63,73,79,87,2020 ~ 2025, V. Osimhen,Napoli  
41,242418,1797,12,N/A,88,42,€7M,RWB,€20K,67,53,19,66,74,73,85,2020 ~ 2025, T. Lamptey,Brighton & Hove Albion  
42,188545,2211,0,N/A,78,92,€124.5M,ST,€270K,44,82,31,79,85,92,92,2014 ~ 2023, R. Lewandowski,FC Bayern München  
43,229391,1996,5,N/A,52,65,€42M,CB,€16K,85,86,24,69,71,82,87,2015 ~ 2025, Palhinha,Sporting CP  
44,225193,2230,4,N/A,74,77,€43.5M,CM,€35K,81,81,24,80,82,82,86,2018 ~ 2025, Merino,Real Sociedad  
45,226226,2173,5,N/A,77,76,€38.5M,CAM,€88K,67,74,24,82,83,81,86,2020 ~ 2025, G. Lo Celso,Tottenham Hotspur  
46,205569,2140,3,N/A,60,74,€27.5M,CM,€62K,67,73,25,86,78,80,83,2011 ~ 2025, J. Ward-Prowse,Southampton  
47,238794,1919,10,N/A,95,70,€45.5M,RM,€95K,29,66,19,71,87,80,90,2018 ~ 2025, Vinícius Jr.,Real Madrid  
48,193082,2199,0,N/A,89,72,€21M,RW,€86K,74,65,32,79,88,82,82,2015 ~ 2022, J. Cuadrado,Juventus  
49,223848,2225,3,N/A,69,79,€71M,CM,€95K,79,85,25,80,83,85,88,2015 ~ 2024, S. Milinković-Savić,Lazio  
50,232938,1751,10,N/A,69,32,€12M,CB,€19K,76,75,21,63,69,75,85,2019 ~ 2024, T. Tomiyasu,Bologna  
51,237681,1827,13,"Jun 30, 2021",82,66,€13.5M,CAM,€59K,39,57,19,68,83,75,88,"Jun 30, 2021 On Loan", T. Kubo,"Getafe CFJun ,  On Loan"
52,239053,2173,6,N/A,86,74,€58M,CM,€135K,77,80,21,78,79,83,89,2016 ~ 2025, F. Valverde,Real Madrid  
53,252037,1621,16,N/A,75,69,€3.5M,ST,€7K,22,64,17,45,72,69,85,2020 ~ 2025, Fábio Silva,Wolverhampton Wanderers  
54,239301,2062,6,N/A,72,58,€20.5M,CDM,€15K,79,79,22,74,75,78,84,2019 ~ 2023, L. Martínez,Ajax  
55,165153,2111,0,N/A,74,85,€83.5M,CF,€350K,40,76,32,81,86,89,89,2009 ~ 2022, K. Benzema,Real Madrid  
56,181291,2273,0,N/A,77,75,€41M,CM,€135K,79,79,29,80,86,84,84,2016 ~ 2021, G. Wijnaldum,Liverpool  
57,234943,2029,6,N/A,67,70,€40.5M,CM,€42K,67,67,23,79,83,81,87,2017 ~ 2024, F. Neuhaus,Borussia Mönchengladbach  
58,245158,1950,9,N/A,86,78,€24M,ST,€26K,40,80,22,65,74,77,86,2020 ~ 2021, L. Suárez,Granada CF  
59,222104,1601,8,N/A,66,31,€9M,CB,€56K,75,74,22,55,56,74,82,2020 ~ 2023, T. Adarabioyo,Fulham  
0,240679,2139,5,N/A,66,72,€24.5M,CM,€12K,76,77,22,79,72,79,84,2017 ~ 2023, T. Koopmeiners,AZ Alkmaar  
1,258315,1495,23,N/A,70,29,€1.2M,CB,€500,60,69,17,46,54,62,85,2020 ~ 2022, B. Arrey-Mbi,Bayern München II  
2,230767,2176,6,N/A,79,72,€28M,CM,€36K,71,81,22,77,82,79,85,2019 ~ 2023, Renato Sanches,LOSC Lille  
3,226491,2088,6,N/A,86,60,€31M,LWB,€69K,75,80,23,75,77,80,86,2019 ~ 2024, K. Tierney,Arsenal  
4,240060,1803,8,N/A,81,42,€12M,RWB,€8K,70,71,20,64,76,75,83,2017 ~ 2024, M. Aarons,Norwich City  
5,192505,2032,0,N/A,81,84,€73.5M,ST,€175K,38,84,27,74,76,86,86,2019 ~ 2024, R. Lukaku,Inter  
6,241390,1909,10,N/A,66,69,€6.5M,CAM,€31K,61,67,20,71,77,73,83,2019 ~ 2025, E. Elmas,Napoli  
7,189242,2103,0,N/A,72,79,€36.5M,CAM,€190K,52,59,28,82,89,83,83,2018 ~ 2023, Coutinho,FC Barcelona  
8,213956,1914,3,N/A,96,66,€19M,RM,€72K,38,81,24,67,87,78,81,2018 ~ 2023, Adama Traoré,Wolverhampton Wanderers  
9,216388,1856,6,N/A,93,69,€27.5M,CAM,€41K,25,63,23,70,87,79,85,2019 ~ 2026, A. Saint-Maximin,Newcastle United  
10,236610,1845,8,"Jun 30, 2021",84,76,€31M,ST,€62K,38,74,20,55,78,78,86,"Jun 30, 2021 On Loan", M. Kean,"Paris Saint-GermainJun ,  On Loan"
11,246646,1967,8,N/A,74,58,€30.5M,CM,€44K,72,68,20,72,81,78,86,2018 ~ 2023, M. Caqueret,Olympique Lyonnais  
12,200104,2148,0,N/A,88,88,€110M,LM,€210K,43,70,27,82,87,89,89,2015 ~ 2023, H. Son,Tottenham Hotspur  
